age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
34,technician,single,tertiary,no,992,yes,no,cellular,4,may,301,1,88,2,success,no
48,technician,married,secondary,no,1526,no,no,cellular,6,aug,273,2,-1,0,unknown,no
35,technician,single,tertiary,no,2658,yes,no,cellular,19,aug,768,2,141,3,failure,yes
39,management,divorced,tertiary,no,1315,yes,no,cellular,19,nov,1337,4,126,1,failure,no
29,blue-collar,single,tertiary,no,455,no,no,telephone,21,apr,403,1,-1,0,unknown,yes
45,technician,single,tertiary,no,0,yes,no,cellular,18,nov,139,2,-1,0,unknown,no
42,technician,married,secondary,no,2030,yes,yes,cellular,9,jul,196,1,-1,0,unknown,no
29,technician,married,secondary,no,1599,yes,no,cellular,8,jul,115,1,61,1,failure,no
38,services,single,secondary,no,-196,yes,no,cellular,2,feb,60,1,271,1,failure,no
56,retired,married,secondary,no,1333,no,no,cellular,28,aug,17,14,-1,0,unknown,no
36,technician,single,secondary,no,9149,yes,no,cellular,13,aug,141,3,-1,0,unknown,no
25,blue-collar,single,secondary,no,-350,yes,no,unknown,23,jun,95,3,-1,0,unknown,no
38,technician,married,tertiary,no,432,yes,no,cellular,15,may,10,2,373,1,other,no
57,self-employed,married,secondary,no,11494,no,no,cellular,19,nov,198,1,-1,0,unknown,no
31,management,married,tertiary,yes,-253,no,no,cellular,12,aug,220,4,-1,0,unknown,no
42,management,married,tertiary,no,372,yes,no,cellular,3,aug,654,2,-1,0,unknown,yes
45,technician,married,secondary,no,1410,no,no,cellular,11,aug,71,2,-1,0,unknown,no
30,blue-collar,married,secondary,no,975,yes,no,cellular,13,may,256,2,351,2,failure,no
49,blue-collar,married,primary,no,305,yes,yes,telephone,10,jul,834,10,-1,0,unknown,no
49,services,married,secondary,no,400,no,no,cellular,21,aug,151,3,-1,0,unknown,no
53,retired,married,tertiary,no,-22,yes,no,cellular,31,jul,20,3,-1,0,unknown,no
37,technician,married,secondary,no,4030,yes,no,unknown,26,may,178,5,-1,0,unknown,no
49,blue-collar,married,primary,no,365,no,no,unknown,26,may,59,2,-1,0,unknown,no
41,self-employed,married,primary,no,204,no,no,cellular,13,aug,111,7,-1,0,unknown,no
54,management,married,primary,no,1691,yes,no,cellular,20,nov,186,1,-1,0,unknown,no
32,services,single,secondary,no,406,yes,no,unknown,6,may,227,1,-1,0,unknown,no
33,technician,married,secondary,no,-204,no,no,cellular,15,may,297,3,-1,0,unknown,no
33,technician,married,secondary,no,359,yes,no,cellular,20,apr,210,1,242,1,other,no
